Ticket_ID,Communication_Log,Contact_Type
314218,"ich habe schon wieder Probleme mit der Reihenauswertung des WEB-CAMPUS-TAG am 15.3. 
 
Der angezeigte Inhalt stimmt nicht. Wenn ich aber auf Aktualisieren gehe – wie Sie es mir im Juli geschrieben hatten – ist die Tabelle ganz leer. 
 
Was mach ich denn falsch? 
 
DANKE für eine kurze Rückmeldung. 
 
Schöne",eMail Kunde
314218,ich sehe mir das an und melde mich.,eMail evidenz
314218,"der Fehler war, dass Sie die Auswertung nicht aus der Hauptveranstaltung geöffnet hatten.
Ich habe die Logik jetzt so geändert, dass sie auch funktioniert, wenn Sie die Auswertung aus einer Unterveranstaltung öffnen.
Das funktioniert aber nur, wenn alle Reihenteilnehmer auch über dieselbe Hauptveranstaltung angemeldet wurden, aber das ist bei Ihnen meines Wissens immer der Fall.
Lösung war 
Sachverhalt aufgeklärt.",eMail evidenz
314218,"DANKE. Hat geklappt. 
 
Schöne",eMail Kunde
314218,SC Abgeschlossen Lösung:Evidenz prüft den Sachverhalt und gibt eine Rückmeldung.,dummy
314375,Problem sollte behoben sein.,eMail Kunde
314375,"Hallo X.
 
Danke dir. Ich melde mich falls mir was auffällt.",eMail Kunde
314375,"Hallo X. Steckmann.
 
Frohes Neues Jahr.
 
Wenn die Schittstelle jetzt läuft funktioniert die Lösung leider nicht. Wenn ich das Servertool manuell auslöse, sind die Bilder sofort da. Nach kurzer Zeit sind die Bilder wieder weg.
 
Vielen Dank.",eMail Kunde
314375,"Hallo X. Steckmann.
 
Ich kann keine Anmeldung sehen.",eMail Kunde
314375,"jetzt haben Sie sie selbst abgeholt.
Ich habe noch schnell eine zweite hinterhergefeuert, die lt. Log die Automatik abgeholt hat.
Ist die da?",eMail evidenz
314375,"Hallo X. Steckmann.
 
Nein, ich habe keinen Eingang und die Bilder sind auch nicht da.",eMail Kunde
314375,"Ich habe auch gerade einen Lehrgang angelegt, der wird auch nicht im OBS angezeigt.",eMail Kunde
314375,"haben Sie in den Online-Eingang geschaut oder nur, ob der Button gehighlightet wurde? Das passiert nur alle Minute, nicht „Live“
Ist die Anmeldung wirklich nicht da?
 
Wegen der Bilder: Es ist mir ein Rätsel. Ich habe online nochmal Alles gelöscht. Drücken Sie bitte nochmal auf den Aktualisierungsknopf.",eMail evidenz
314375,"SC Abgeschlossen Lösung:Import angepasst: die Dateiübertragung wird nur noch durchgelassen, wenn sie vom Arbeitsplatzrechner aus ausgelöst wird.",dummy
314375,"dies ist eine E-Mail aus dem evidenz Ticketsystem. Hiermit teilen wir Ihnen den Abschluss des Tickets mit. 
Ticket-Nr +000 000 000 000
Anfrage und Zielvereinbarung 
Bilder für das OBS 
Seit dem update lassen sich keine Bilder mehr für das OBS ablegen. 
Lösung war 
Import angepasst: die Dateiübertragung wird nur noch durchgelassen, wenn sie vom Arbeitsplatzrechner aus ausgelöst wird.",eMail evidenz
314375,"Guten Tag X. Steckmann.
 
Ich muss leider nochmal nerven mit den Bildern. Es werden immer noch nicht zuverlässig alle Bilder im OBS angezeigt. Vielen Dank.",eMail Kunde
314375,"Guten Tag X Evidenz.
 
7 Tage später probiere ich es nochmal… Gibt es bitte eine Antwort? Vielen Dank.",eMail Kunde
314375,"bitte entschuldigen Sie meine verspätete Rückmeldung. Im Spannungsfeld verschiedener Aufgaben muss ich und muss auch mein Kollege Herr X priorisieren.
Produktionsverhindernde Probleme oder der Abschluss von Neuentwicklungen und Fehlerbehebungs-Releases haben da immer eine hohe Priorität.
Aber jetzt sind Sie dran 😊
 
Nach meinen letzten Aufzeichnungen sollten die Bilder immer dann durchkommen, wenn Sie von Ihrem Arbeitsplatzrechner aus die Schnittstelle auslösen.
Haben Sie das versucht?",eMail evidenz
314375,"Hallo X. Steckmann.
 
Danke für die Rückmeldung. 
 
Ich löse die Schnittstelle aus, es bleiben aber immer 3 Bilder, die nicht übertragen werden. Wahrscheinlich liegt es an mir, ich sehe aber nicht, was ich falsch mache.
 
Sorry dass ich mit diesem „Problem“ nerve, es funktioniert zwar alles, es sieht aber nicht professionell aus.",eMail Kunde
